id_client,type_personne,nom_complet_client,id_revendeur,id_territoire,numero_client
1,EM,Ken J Sánchez,934,1,AW00000001
2,EM,Terri Lee Duffy,1028,1,AW00000002
3,EM,Roberto Tamburello,642,4,AW00000003
4,EM,Rob Walters,932,4,AW00000004
5,EM,Gail A Erickson,1026,4,AW00000005
6,EM,Jossef H Goldberg,644,4,AW00000006
7,EM,Dylan A Miller,930,1,AW00000007
8,EM,Diane L Margheim,1024,5,AW00000008
9,EM,Gigi N Matthew,620,5,AW00000009
10,EM,Michael Raheem,928,6,AW00000010
11,EM,Ovidiu V Cracium,1022,6,AW00000011
12,EM,Thierry B D'Hers,622,6,AW00000012
13,EM,Janice M Galvin,434,7,AW00000013
14,EM,Michael I Sullivan,1020,8,AW00000014
15,EM,Sharon B Salavaria,624,9,AW00000015
16,EM,David M Bradley,432,10,AW00000016
17,EM,Kevin F Brown,1018,5,AW00000017
18,EM,John L Wood,1332,3,AW00000018
19,EM,Mary A Dempsey,430,1,AW00000019
20,EM,Wanida M Benshoof,1016,1,AW00000020
21,EM,Terry J Eminhizer,1334,4,AW00000021
22,EM,Sariya E Harnpadoungsataya,494,3,AW00000022
23,EM,Mary E Gibson,1014,4,AW00000023
24,EM,Jill A Williams,1336,4,AW00000024
25,EM,James R Hamilton,492,4,AW00000025
26,EM,Peter J Krebs,1012,5,AW00000026
27,EM,Jo A Brown,1338,5,AW00000027
28,EM,Guy R Gilbert,490,6,AW00000028
29,EM,Mark K McArthur,1010,6,AW00000029
30,EM,Britta L Simon,1340,6,AW00000030
31,EM,Margie W Shoop,942,7,AW00000031
32,EM,Rebecca A Laszlo,1008,8,AW00000032
33,EM,Annik O Stahl,1342,9,AW00000033
34,EM,Suchitra O Mohan,940,10,AW00000034
35,EM,Brandon G Heidepriem,1006,2,AW00000035
36,EM,Jose R Lugo,1344,2,AW00000036
37,EM,Chris O Okelberry,938,1,AW00000037
38,EM,Kim B Abercrombie,1004,1,AW00000038
39,EM,Ed R Dudenhoefer,1346,3,AW00000039
40,EM,JoLynn M Dobney,936,4,AW00000040
41,EM,Bryan Baker,1002,4,AW00000041
42,EM,James D Kramer,1348,4,AW00000042
43,EM,Nancy A Anderson,1290,1,AW00000043
44,EM,Simon D Rapier,1000,5,AW00000044
45,EM,Thomas R Michaels,1350,5,AW00000045
46,EM,Eugene O Kogan,1288,6,AW00000046
47,EM,Andrew R Hill,998,6,AW00000047
48,EM,Ruth Ann Ellerbrock,1352,6,AW00000048
49,EM,Barry K Johnson,1286,7,AW00000049
50,EM,Sidney M Higa,996,8,AW00000050
51,EM,Jeffrey L Ford,1354,9,AW00000051
52,EM,Doris M Hartwig,1284,10,AW00000052
53,EM,Diane R Glimp,994,2,AW00000053
54,EM,Bonnie N Kearney,1356,2,AW00000054
55,EM,Taylor R Maxwell,1282,1,AW00000055
56,EM,Denise H Smith,992,1,AW00000056
57,EM,Frank T Miller,1358,3,AW00000057
58,EM,Kendall C Keil,1280,3,AW00000058
59,EM,Bob N Hohman,990,4,AW00000059
60,EM,Pete C Male,1360,4,AW00000060
61,EM,Diane H Tibbott,1278,4,AW00000061
62,EM,John T Campbell,988,5,AW00000062
63,EM,Maciej W Dusza,1362,5,AW00000063
64,EM,Michael J Zwilling,1276,6,AW00000064
65,EM,Randy T Reeves,986,6,AW00000065
66,EM,Karan R Khanna,782,6,AW00000066
67,EM,Jay G Adams,1274,7,AW00000067
68,EM,Charles B Fitzgerald,532,8,AW00000068
69,EM,Steve F Masters,784,9,AW00000069
70,EM,David J Ortiz,1272,10,AW00000070
71,EM,Michael Sean Ray,530,2,AW00000071
72,EM,Steven T Selikoff,786,2,AW00000072
73,EM,Carole M Poland,1270,1,AW00000073
74,EM,Bjorn M Rettig,528,1,AW00000074
75,EM,Michiko F Osada,788,4,AW00000075
76,EM,Carol M Philips,1268,3,AW00000076
77,EM,Merav A Netz,556,4,AW00000077
78,EM,Reuben H D'sa,790,4,AW00000078
79,EM,Eric L Brown,1266,3,AW00000079
80,EM,Sandeep P Kaliyath,554,5,AW00000080
81,EM,Mihail U Frintu,792,5,AW00000081
82,EM,Jack T Creasey,1264,6,AW00000082
83,EM,Patrick M Cook,552,6,AW00000083
84,EM,Frank R Martinez,794,6,AW00000084
85,EM,Brian Richard Goldstein,1262,7,AW00000085
86,EM,Ryan L Cornelsen,636,8,AW00000086
87,EM,Cristian K Petculescu,796,9,AW00000087
88,EM,Betsy A Stadick,1260,10,AW00000088
89,EM,Patrick C Wedge,634,2,AW00000089
90,EM,Danielle C Tiedt,798,5,AW00000090
91,EM,Kimberly B Zimmerman,1258,1,AW00000091
92,EM,Tom M Vande Velde,632,1,AW00000092
93,EM,Kok-Ho T Loh,800,4,AW00000093
94,EM,Russell Hunter,1256,4,AW00000094
95,EM,Jim H Scardelis,630,4,AW00000095
96,EM,Elizabeth I Keyser,1308,4,AW00000096
97,EM,Mandar H Samant,1254,4,AW00000097
98,EM,Sameer A Tejani,734,5,AW00000098
99,EM,Nuan Yu,1310,5,AW00000099
100,EM,Lolan B Song,1252,6,AW00000100
101,EM,Houman N Pournasseh,732,6,AW00000101
102,EM,Zheng W Mu,1312,6,AW00000102
103,EM,Ebru N Ersan,1894,7,AW00000103
104,EM,Mary R Baker,730,8,AW00000104
105,EM,Kevin M Homer,1314,9,AW00000105
106,EM,John T Kane,1892,10,AW00000106
107,EM,Christopher E Hill,728,2,AW00000107
108,EM,Jinghao K Liu,1316,2,AW00000108
109,EM,Alice O Ciccu,1890,1,AW00000109
110,EM,Jun T Cao,1888,1,AW00000110
111,EM,Suroor R Fatima,726,3,AW00000111
112,EM,John P Evans,1318,4,AW00000112
113,EM,Linda K Moschell,1886,4,AW00000113
114,EM,Mindaugas J Krapauskas,724,4,AW00000114
115,EM,Angela W Barbariol,1320,1,AW00000115
116,EM,Michael W Patten,1884,5,AW00000116
117,EM,Chad W Niswonger,722,5,AW00000117
118,EM,Don L Hall,1322,6,AW00000118
119,EM,Michael T Entin,1882,6,AW00000119
120,EM,Kitti H Lertpiriyasuwat,720,6,AW00000120
121,EM,Pilar G Ackerman,1324,7,AW00000121
122,EM,Susan W Eaton,1880,8,AW00000122
123,EM,Vamsi N Kuppa,718,9,AW00000123
124,EM,Kim T Ralls,1326,10,AW00000124
125,EM,Matthias T Berndt,1878,2,AW00000125
126,EM,Jimmy T Bischoff,716,2,AW00000126
127,EM,David P Hamilton,1328,1,AW00000127
128,EM,Paul B Komosinski,1876,1,AW00000128
129,EM,Gary W Yukish,714,3,AW00000129
130,EM,Rob T Caron,1330,4,AW00000130
131,EM,Baris F Cetinok,1874,4,AW00000131
132,EM,Nicole B Holliday,712,3,AW00000132
133,EM,Michael L Rothkugel,978,4,AW00000133
134,EM,Eric Gubbels,1872,5,AW00000134
135,EM,Ivo William Salmre,710,5,AW00000135
136,EM,Sylvester A Valdez,980,6,AW00000136
137,EM,Anibal T Sousa,418,6,AW00000137
138,EM,Samantha H Smith,708,6,AW00000138
139,EM,Hung-Fu T Ting,982,7,AW00000139
140,EM,Prasanna E Samarawickrama,416,8,AW00000140
141,EM,Min G Su,706,9,AW00000141
142,EM,Olinda C Turner,984,10,AW00000142
143,EM,Krishna Sunkammurali,520,2,AW00000143
144,EM,Paul R Singh,704,2,AW00000144
145,EM,Cynthia S Randall,522,1,AW00000145
146,EM,Jian Shuo Wang,518,1,AW00000146
147,EM,Sandra Reátegui Alayo,702,3,AW00000147
148,EM,Jason M Watters,524,3,AW00000148
